quantity_name;unit;depth_from[m];depth_to[m];value;description;quantity_source_name;quantity_source_description;quantity_source_provider;quantity_source_version;quantity_source_resolution;quantity_source_timerange;quantity_source_url;
bulk density;g/cm3;0.00;0.10;1.32;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.00;0.10;0.48;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.00;0.10;31.50;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.00;0.10;0.97;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.00;0.10;14.87;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.00;0.10;53.60;;insitu;in situ;None;None;None;None;None;
bulk density;g/cm3;0.00;0.20;1.25;;insitu;in situ;None;None;None;None;None;
field capacity;m^3*m^-3;0.00;0.20;0.00;;insitu;in situ;None;None;None;None;None;
permanent wilting point;m^3*m^-3;0.00;0.20;0.00;;insitu;in situ;None;None;None;None;None;
clay fraction;% weight;0.00;0.20;31.50;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.00;0.20;0.32;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.00;0.20;14.90;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.00;0.20;53.60;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.00;0.30;0.46;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
clay fraction;% weight;0.00;0.30;20.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
organic carbon;% weight;0.00;0.30;1.45;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
sand fraction;% weight;0.00;0.30;42.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
silt fraction;% weight;0.00;0.30;38.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
bulk density;g/cm3;0.10;0.20;1.26;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.10;0.20;0.47;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.10;0.20;32.80;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.10;0.20;1.01;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.10;0.20;22.78;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.10;0.20;44.40;;insitu;in situ;None;None;None;None;None;
bulk density;g/cm3;0.20;0.30;1.24;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.20;0.30;0.46;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.20;0.30;31.00;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.20;0.30;0.93;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.20;0.30;25.80;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.20;0.30;43.20;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.30;1.00;0.41;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
clay fraction;% weight;0.30;1.00;20.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
organic carbon;% weight;0.30;1.00;0.50;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
